Year,Anomaly,Region
191504,-0.06,africa
191505,0.02,africa
191506,-0.23,africa
191507,0.11,africa
191508,0.07,africa
191509,-0.22,africa
191510,0.03,africa
191511,0.27,africa
191512,-0.45,africa
191601,-0.96,africa
191602,-0.03,africa
191603,0.3,africa
191604,-0.03,africa
191605,-0.53,africa
191606,-0.27,africa
191607,-0.27,africa
191608,-0.82,africa
191609,-0.5,africa
191610,-0.5,africa
191611,-0.46,africa
191612,-0.24,africa
191701,0.03,africa
191702,-0.39,africa
191703,-1.2,africa
191704,-0.75,africa
191705,-0.53,africa
191706,-0.61,africa
191707,-0.4,africa
191708,-0.48,africa
191709,-0.79,africa
191710,-0.82,africa
191711,-0.75,africa
191712,-0.56,africa
191801,-0.88,africa
191802,-0.97,africa
191803,-0.68,africa
191804,-0.75,africa
191805,-0.74,africa
191806,-0.59,africa
191807,-0.23,africa
191808,-0.73,africa
191809,0.1,africa
191810,-0.15,africa
191811,0.09,africa
191812,-0.87,africa
191901,0.32,africa
191902,0.18,africa
191903,0.42,africa
191904,0.43,africa
191905,-0.58,africa
191906,-0.37,africa
191907,-0.2,africa
191908,-0.45,africa
191909,-0.27,africa
191910,0.05,africa
191911,-0.42,africa
191912,-0.78,africa
192001,0.11,africa
192002,-0.37,africa
192003,-0.9,africa
192004,-0.04,africa
192005,-0.31,africa
192006,-0.47,africa
192007,-0.32,africa
192008,-0.42,africa
192009,-0.37,africa
192010,-0.08,africa
192011,-0.3,africa
192012,-0.55,africa
192101,-0.69,africa
192102,-0.34,africa
192103,-0.46,africa
192104,-0.3,africa
192105,-0.5,africa
192106,-0.24,africa
192107,-0.24,africa
192108,-0.39,africa
192109,-0.24,africa
192110,-0.14,africa
192111,-0.4,africa
192112,-0.22,africa
192201,0.06,africa
192202,-0.32,africa
192203,0.1,africa
192204,0.39,africa
192205,-0.43,africa
192206,-0.04,africa
192207,-0.23,africa
192208,-0.46,africa
192209,-0.29,africa
192210,-0.12,africa
192211,0.06,africa
192212,-0.52,africa
192301,-0.36,africa
192302,-0.56,africa
192303,-0.31,africa
192304,-0.6,africa
192305,-0.38,africa
192306,-0.12,africa
192307,-0.59,africa
192308,-0.53,africa
192309,-0.31,africa
192310,-0.4,africa
192311,-0.02,africa
192312,-0.4,africa
